data;h.7;h.8;h.9;h.10;h.11;h.12;h.13;h.14;h.15;h.16;h.17;h.18;h.19
2019-01-01;55.8;51.6;60.0;63.6;51.0;57.0;55.2;51.0;62.4;61.2;51.6;54.6;55.8
2019-01-02;48.6;50.4;64.2;57.6;52.2;58.8;52.8;66.0;58.2;54.6;67.8;54.6;55.2
2019-01-03;60.6;60.6;66.0;56.4;54.6;62.4;60.0;55.2;61.2;61.8;52.8;55.8;54.0
2019-01-04;52.2;52.2;62.4;62.4;52.2;57.6;52.2;53.4;60.6;56.4;53.4;54.6;59.4
2019-01-05;58.8;51.6;52.2;55.8;51.0;60.6;54.0;50.4;52.2;55.8;55.8;54.6;51.6
2019-01-06;55.8;58.2;51.6;52.8;51.0;51.6;51.0;55.2;68.4;62.4;56.4;54.0;61.2
2019-01-07;52.2;49.2;58.8;79.8;81.0;76.2;85.8;74.4;88.2;75.6;73.8;79.8;67.8
2019-01-08;67.2;78.0;78.6;84.0;87.0;95.4;81.6;91.2;81.6;91.2;75.0;78.6;67.2
2019-01-09;61.2;76.2;74.4;89.4;79.2;90.6;77.4;90.6;82.8;89.4;75.0;74.4;69.0
2019-01-10;73.2;70.2;79.2;87.0;75.6;87.6;87.6;75.0;85.2;80.4;75.0;82.2;67.2
2019-01-11;73.2;69.0;75.0;78.0;86.4;78.6;88.2;73.8;83.4;75.6;73.2;78.6;68.4
2019-01-12;62.4;63.0;69.6;68.4;61.8;64.8;75.0;62.4;70.8;67.2;62.4;67.8;62.4
2019-01-13;68.4;61.8;64.2;69.0;63.0;77.4;61.8;71.4;63.0;64.8;73.8;65.4;61.8
2019-01-14;67.2;73.2;72.0;88.8;78.6;91.2;89.4;79.2;92.4;90.0;86.4;76.8;69.0
2019-01-15;67.8;67.2;84.0;73.8;82.8;80.4;85.2;79.8;92.4;86.4;90.6;84.0;79.2
2019-01-16;64.2;82.2;85.8;83.4;94.2;83.4;79.2;75.6;86.4;78.0;84.6;76.8;65.4
2019-01-17;69.0;78.0;82.8;78.6;80.4;87.0;86.4;85.2;81.0;88.2;82.8;77.4;75.0
2019-01-18;69.6;71.4;75.6;89.4;76.2;76.2;77.4;75.6;85.2;76.2;72.6;72.0;69.0
2019-01-19;69.6;67.8;65.4;63.0;66.0;73.8;66.0;64.2;63.6;63.0;69.6;68.4;66.0
2019-01-20;70.2;68.4;66.0;74.4;63.0;69.0;64.8;75.6;63.0;67.8;74.4;72.6;68.4
2019-01-21;73.8;70.2;76.2;76.2;83.4;75.6;85.2;86.4;89.4;80.4;81.6;82.8;69.0
2019-01-22;64.8;73.8;77.4;84.6;82.8;82.8;80.4;80.4;90.0;83.4;84.0;83.4;70.2
2019-01-23;77.4;72.0;81.6;81.6;88.8;93.6;88.8;82.8;81.6;91.2;90.0;72.0;73.2
