"","h.7","h.8","h.9","h.10","h.11","h.12","h.13","h.14","h.15","h.16","h.17","h.18","h.19"
"V1",0.830310834939359,0.865260712609731,0.85537225993149,0.840021305273853,0.816122081601498,0.874621715541875,0.834843852111231,0.81370125839223,0.80746796468638,0.765743412272853,0.764280819654912,0.90582170900173,0.815228635640318
"V2",0.20603104705074,0.584183842633625,0.609331491001199,0.622812887092161,0.603819424107575,0.669666557830973,0.673104893606463,0.646902418002913,0.625445516837416,0.600030619282331,0.562474726788655,0.572114058911855,0.577161693246662
"V3",-1.46985401300347,0.501508524887486,0.501086943109771,0.498359238312826,0.505885312830579,0.569731832538233,0.529123315678129,0.516802819264946,0.495106025448456,0.467422640651032,0.464721657858832,-0.554955418492963,-0.694200881766153
"V4",0.776302405999345,0.842699505452605,0.77075139383609,0.79586987084232,0.770719240056479,0.774442207865259,0.803369697293902,0.814839412653432,0.838743743833651,0.840677696978461,0.899924222177909,1.00426701315311,1.06986100773949
"V5",0.557155832066896,0.214702914219014,0.125789426559881,0.0832281185029986,0.107790913041513,0.0997454080279393,0.0938341215573274,0.157156027444038,0.135852257877664,0.209226446859374,0.268740073358127,0.383184793834661,0.499099067812894
"V6",0.705820707740862,0.713877197639918,0.708535068659858,0.721108541831225,0.757408238769485,0.777940401368135,0.798065734086873,0.80102883490802,0.778073002668729,0.755628206835011,0.731338525861129,0.807431612312855,0.560849014812755
"V7",0.473275274088578,0.360635725384141,0.677872551685194,0.766978154348301,0.754774583683325,0.811735069528766,0.788389822909686,0.786960499669721,0.777405705359101,0.760955038529271,0.558631788049843,0.651731948507816,0.647021184313294
"V8",-0.146660794196992,-0.37740241432879,-0.335228335638914,-0.258813931519928,-0.263745973830828,-0.244279255315959,-0.26737734188419,-0.201975070084717,-0.184404469506476,-0.187344641595505,-0.169120094934468,-0.120370061821768,0.00613545627657122
"V9",0.446833662349359,-0.390029699423456,-0.34636463653731,-0.379248057078491,-0.368766305788191,-0.355431671996098,-0.375471907225834,-0.572655061048014,-0.601905173532204,-0.55188331664635,-0.519524197711729,-0.303597729725669,-0.12659278825661
"V10",0.565000952387318,0.611148928555671,0.671640846226482,0.479434818024438,0.489842121038398,0.511631656510736,0.518206682566617,0.520674483960388,0.507183807981044,0.531125844973063,0.529792874071472,0.617756567695516,0.658699357680618
"V11",0.127821645147829,-0.713707005619063,-0.75797501060225,-0.763531654206062,-0.762700122983953,-0.713870404351738,-0.701378652710899,-0.664138749912846,-0.627716290916495,-0.546804027986063,-0.513122123693108,-0.281972933869064,-0.137596834867077
"V12",-1.58436811593159,-2.17425488265152,-2.16354113443067,-2.15916960417545,-2.16091200556544,-1.97348347915497,-1.97303627242065,-1.98306402137809,-1.99749241891428,-2.05714617629769,-2.01712870414331,-1.84359625851054,-1.82520835295464
"V13",-0.599127846604331,-1.1983913926772,-1.26291259743398,-1.26194929698435,-1.24177047146647,-1.14022516070274,-1.14960757931862,-1.1173302250261,-1.09120233564529,-1.06120031588457,-1.05042587432841,-0.864809687000733,-0.737509512497256
"V14",-0.318200903537569,-0.339933903715545,-0.393633771047206,-0.410652514775213,-0.409697696615489,-1.1759368051072,-1.19615015057011,-1.20578644778173,-1.2007563256015,-1.16897959584746,-1.1667630477944,-1.13871016755104,-1.05205573706046
"V15",-0.14003836525787,-0.289648009817682,-0.332063679153538,-0.363631050747849,-0.342316710109236,-0.335151666019508,-0.347928562021713,-0.340662275429633,-0.314569432187901,-0.229042728269693,-0.142279636940797,-0.966017621494034,-1.03080340433388
"V16",0.213189438561564,-0.127479896803186,-0.157161142768442,-0.180084030958828,-0.164081635595881,-0.156210142474507,-0.0327498969728168,0.0382015951677002,0.152787099472065,0.232870072063686,0.297342003362412,0.34692525733442,0.52571052961862
