"","tmedia","umidita"
"V1",-0.191287341639992,-0.222082772083814
"V2",0.204713043291515,-0.121462119919052
"V3",0.502044821932497,-0.376969770647733
"V4",1.05950782497957,-1.02113638889723
"V5",0.180051655227535,-0.232341408119352
"V6",-1.20497494247755,0.881639143161538
"V7",-0.433355555739305,0.610511852118309
"V8",0.269160527179307,-0.0512749693455305
"V9",-1.13809177640886,0.947571626669239
"V10",-0.813884141416704,1.02155602815996
"V11",-1.01859326342402,0.87108375211924
"V12",-0.321267335563214,0.238164451851877
"V13",1.07690673075951,-0.723044745433451
"V14",0.641024150965553,-0.308301572699039
"V15",-0.0842969454825602,-0.240664427000239
"V16",1.21203800338635,-1.04354009718965
