"","tmedia","umidita"
"V1",-1.13691543561981,0.972361073199875
"V2",0.125016613195016,0.224230162454822
"V3",0.360175479360099,0.184551379236928
"V4",-0.380254153873551,0.731216739438297
"V5",-0.958875592511129,1.27445939435074
"V6",-1.28574613826968,1.18218079184059
"V7",-0.942954254432234,0.234025303786427
"V8",-0.463006875401487,-0.892331256934399
"V9",-0.64496548583436,0.474680129713185
"V10",-1.00133639229975,1.33278653318689
"V11",-0.29405300179855,-0.369206964527047
"V12",-0.701252644229048,-1.33745866624192
"V13",0.096760210248702,-1.35564873734844
"V14",0.639931369589234,-0.26019804894212
"V15",-0.199922243759504,0.871835273517208
"V16",0.362158387438323,-0.0372440218836275
"V17",-0.308126677957348,-0.983032222433974
"V18",0.879137936619158,-1.04446044275271
"V19",1.52230573052266,-0.793997909618794
"V20",1.17796980731454,-0.55501518226334
"V21",-0.0286720869117679,0.490018801891102
"V22",1.16905046200078,-0.906694299649839
"V23",1.29215284766878,-0.853854654772313
"V24",1.11226547772934,-0.443271313255648
"V25",0.558957809497131,-0.0888809235501496
