"","h.7","h.8","h.9","h.10","h.11","h.12","h.13","h.14","h.15","h.16","h.17","h.18","h.19"
"V1",-0.546947458104255,-0.672094976565988,-0.980820340794379,-0.971042150261277,-1.11186929779197,-1.03854703450702,-1.03987353098144,-1.15538052796392,-1.09576359320636,-1.07039569906936,-1.0138197772659,-0.845879440191568,-0.79090256025383
"V2",-0.731468945680821,-0.878380308238598,-0.979847962925195,-0.342001080792885,-0.533532967532384,-0.571216521482144,-0.622946207294489,-0.337357424089118,-0.551000992906811,-0.345403244139234,-0.551550667956575,-0.462649352287337,-0.513995320010504
"V3",-1.06725789107888,-0.718027380950896,-0.581535071116077,-0.436126836805998,-0.436040045300572,-0.256056908124914,-0.30156905895551,-0.413264573494086,-0.337647161325889,-0.306026010701402,-0.37156206315084,-0.610340911345284,-0.295048178343031
"V4",-0.590842926035146,-0.454427303343504,-0.330760842586904,-0.394017985542055,0.0967764101937958,-0.094641943263952,-0.193831441665404,-0.38395534562939,0.100224535525011,-0.1907924526161,-0.171834314740968,-0.265972411397481,-0.466570953551163
"V5",-0.358984054609081,-0.488534567635178,-0.586157742505179,-0.775680205408913,-0.424430918647407,-0.867448052822939,-0.665156020926096,-0.640686780583854,-0.671203018588767,-0.75470092478285,-0.682863904917324,-0.503613056023039,-0.676130872695544
"V6",-0.156462163198885,0.0944042859484878,0.072645734401625,-0.0733881772543007,-0.101582825984324,0.192991828289824,-0.222963666290745,0.0414758037384709,-0.144207371531174,-0.0917098403691712,-0.287123165397603,-0.280889981875075,-0.301619718696473
"V7",-0.414817220043552,-0.461450179659481,-0.445862798481032,-0.56560887411042,-0.56821145919512,-0.336463949192951,-0.480169295067019,-0.309933038385859,-0.50973814830694,-0.422353377876583,-0.399958682418924,-0.482594801438927,-0.566469280909015
"V8",-0.664539188533863,-0.192941696099309,-0.246963122345047,0.178086804585579,-0.291741581173038,-0.170853034776846,-0.0422286936041346,0.0104011658443003,-0.0519747280284938,-0.0475120267230388,-0.276251893320725,-0.396286801943149,-0.507928031650796
"V9",-0.689152231014769,-0.441708728591834,-0.283654318932248,0.0150293497603409,-0.146872523609631,-0.16130142640173,-0.0603780171281702,-0.427904091306813,-0.0113179001445981,-0.523258337119872,-0.333559902046272,-0.534941165241431,-0.468938576075892
"V10",-0.0808776943647056,-0.0915278613677873,0.0140672444445337,0.0253602496089332,0.0358619714576109,-0.0616176906854394,-0.229291240330158,-0.223715023759765,-0.0591603737088301,-0.359804830856564,-0.292726397824577,-0.507960750982738,-0.574772372216679
"V11",-0.274470090621026,-0.284986314619395,0.00385707653446221,-0.219152162977002,-0.117240174127668,0.132599993324863,-0.287202689790308,-0.198943873577305,-0.557556823856458,-0.151214253029047,-0.258046632634025,-0.474893769905926,-0.477214498091073
"V12",0.131124319356706,0.0909948298955131,0.255170435938548,0.122120721591891,0.185261473609438,0.125688815802091,0.115771501888597,0.136893934278694,0.201482160297741,0.0610464243170177,0.0234458071383348,-0.0526930160850877,-0.173518905399815
"V13",0.308224008795329,0.45526373043319,1.06229999026759,0.984778834191335,0.916816783758761,0.656258206969999,1.33088976727935,1.18713902627911,1.21881371815095,0.835653089891401,1.07813217723726,0.876268435994833,0.29066192163384
"V14",0.753862144956486,0.835355811017869,0.805944467431942,0.887482175402202,0.988775879649974,0.880641338795176,0.935098142690128,0.854472919870195,0.838381276039009,0.712457490346051,0.768533803525728,0.669635400108633,-0.227151553502516
"V15",0.285420160356376,0.317336584579867,0.342483421788921,0.43353518042598,0.407677516734584,0.243100575004183,0.314793879541925,0.245105809287449,0.225888711213923,0.21631899472232,0.15807611312982,0.0185483255085183,-0.0546623248664055
"V16",0.18634166702709,-0.130834075603851,-0.220020190268866,-0.272770899138683,-0.375677737169028,-0.66373165734454,-0.574105341596529,-0.582221195006987,-0.740273106371528,-0.527586373651084,-0.69811837684988,-0.325141492498886,-0.2968589155604
"V17",-0.465195930232773,-0.505914302081887,-0.568026371470106,-0.86445914167626,-0.81971510699199,-0.841475409044485,-0.868941375438079,-0.894526111197037,-0.99309268372736,-0.87506516949341,-0.724729119463733,-0.715679116450719,-0.543900762914885
"V18",0.242627162432855,0.144576266830553,0.306305430958742,0.197666756825474,0.300040514886905,0.354211727377256,0.434464235509095,0.345476291119305,0.53388450713845,0.587346084528761,0.51057354626885,0.672331413561236,0.924098480311287
"V19",1.95690682741173,2.0417270891204,2.00903300482003,1.99810800210379,1.89898379211769,1.95848608591045,1.86006042703944,2.09790188698972,2.02581001502488,2.08778597253745,2.08101640713072,2.14094944650197,2.18528022593681
"V20",1.55839401285584,1.50805631210323,1.45000321638423,1.19284545461494,1.22412167893611,1.09677065534579,1.2157323214395,1.00913938426086,0.938295664164456,1.01535642445538,1.01923589335706,1.10958630471872,1.17842002466652
"V21",-1.04499763235239,-1.34394232100895,-1.32876137563369,-1.31442052328123,-1.4296505304132,-1.58119418744549,-1.27133606259124,-1.40928868018889,-1.42672939355143,-1.4629963852864,-1.3342500826298,-1.36359243841082,-1.19765731372202
"V22",-1.18392121740092,-1.30419961699683,-1.43955434206082,-1.7356043459661,-1.72708598553805,-1.26413187751395,-1.38034477434878,-1.22107065479747,-1.28968591138136,-1.25553850196524,-1.22532369463706,-1.09809304869761,-0.895996777641383
"V23",-1.14378482587288,-0.98276276834347,-0.296158186609968,-0.223708432574802,-0.0353289146650026,1.12285664140964,1.25447896938113,1.04789545447168,1.48262974607133,1.73432305125747,1.40401244085502,1.51138646342686,1.64142975197315
"V24",0.813410889627618,0.755440762256983,0.451008898583749,0.878004010995082,1.00158190576006,0.882807133070247,0.911723699466907,0.934486761172776,0.914339392509107,0.940315214115536,1.1944411009419,1.14941704715976,1.34674646387463
"V25",0.224636173977136,0.147659310653042,0.0520341144011297,-0.103163386989921,-0.174730416285099,-0.340658001619735,-0.0949517822696923,-0.207171641980691,-0.169823703101221,-0.196127866607477,-0.0665754791537263,0.00151942938846109,0.153602909509813
