"","h.7","h.8","h.9","h.10","h.11","h.12","h.13","h.14","h.15","h.16","h.17","h.18","h.19"
"V1",1.01000636983109,0.0340199362325259,0.068988949092542,0.0904776510291095,0.0445803585824459,-0.0386579715438645,-0.0238302252926402,0.0796236508903863,0.194151115579816,0.34847651983608,0.419899645338911,0.569055482106463,0.858189797775952
"V2",1.4734531524117,1.03834651477022,0.950368631875685,0.932957879410994,0.858333250793666,0.814824551421965,0.83936792266485,0.897849871138159,0.867378032529596,0.866191296908893,0.949895227659596,0.993765105310116,1.01929658057025
"V3",-0.712702067759253,0.160141316185009,0.082907514678011,0.0566280834612028,0.0589372709381779,0.151274848239901,0.113713059261576,0.0855276548712098,-0.0330345151614348,-0.167144592320418,-0.264510701856772,-0.329952082209606,-0.420979454827833
"V4",-0.483405523717937,-0.0672373111575254,-0.0803740790597006,-0.191419033125752,-0.120086481328419,-0.0613635023016175,-0.0448052312162117,-0.133660937392726,-0.186384211142556,-0.27356743861846,-0.37245873320254,-0.446336170044068,-0.604023192920539
"V5",-0.722982198551634,-1.41876152811905,-1.45910420707622,-1.46143025705199,-1.46898193669523,-1.44890753073188,-1.44251022639593,-1.43389623133916,-1.4100606682877,-1.39139671916994,-1.33180610746679,-1.22813471646829,-1.08802927198622
"V6",1.01867047152748,-0.197001885161197,-0.277715762098852,-0.304946598488207,-0.349824083096031,-0.401108559556129,-0.379307989692396,-0.305451200249742,-0.212103108714173,-0.0876624384232187,0.107192774389605,0.268255006740585,0.571034422451159
"V7",1.77720528525776,0.959471425338389,0.796043824910255,0.881941562370907,0.872254904838728,0.837867984153527,0.912677304879495,0.934834051037542,0.969010521134037,1.06310370050346,1.13453101643931,1.26120672549689,1.36737077240156
"V8",0.369628768931538,1.00416495024759,1.01116435659116,1.02869291285134,0.954317225700025,0.952046496772662,0.99504243433812,0.957252755019727,0.93573231977008,0.968689872961782,0.97556850165311,0.933983246088442,0.865339877093542
"V9",0.0425633993176311,0.94753321708735,0.992298871268605,0.869494190541527,0.958989938253812,0.973378598288927,0.934326202385902,0.927300235146972,0.907811939585723,0.877179202590009,0.830381931749147,0.825379514675103,0.676560448297685
"V10",0.349230539205446,0.0358419685553444,-0.0124822390174304,-0.0630959235027757,-0.0657325136651566,-0.0261321311757085,-0.0285952284555007,0.00360994115772502,0.0735379778300947,0.110881581240573,0.174014902471465,0.241898343405942,0.335936348310513
"V11",0.311153252411181,-0.0985974487712986,0.0665294904225792,0.154176019215368,0.339052892117015,0.254873148148558,0.33037188890595,0.467551295731895,0.561547297957142,0.635533568512725,0.64797235377942,0.687541760416941,0.816317819408631
"V12",-0.240281240547265,0.506562614142431,0.432696253744971,0.756786608597113,0.886996356028526,0.878425163746345,0.860273997182381,0.84732546040922,0.943430714474263,0.954980712084002,0.986409503285628,1.04325048182559,0.65421596638994
"V13",-0.1650879813457,0.708587988811155,0.785683352357945,0.670640460359477,0.764130311858981,0.768900285409241,0.777507989863452,0.645272239826248,0.686930083466127,0.626058845138132,0.567601001303761,0.470420375209239,0.254082406438704
"V14",-0.235637671284991,0.130885135294054,0.302204119755012,0.208914153929574,0.245226426769105,0.243254532551107,0.270044436243933,0.258391343351154,0.235242806987587,0.233334782868205,0.218710999551547,0.129444073108307,0.0539158222703487
