"","tmedia","umidita"
"V1",1.35484828356016,-0.566113206137694
"V2",0.980358049600995,-0.484436316267549
"V3",0.365268130483279,-0.254143417102109
"V4",0.344161791287008,-0.347017271518221
"V5",0.384857536867082,-0.697842136932573
"V6",1.21557232759219,-0.5896236418432
"V7",1.46291419041689,-0.768685772785351
"V8",0.0342859096304018,-1.74737623200078
"V9",-0.664404799105644,-1.20549594329231
"V10",0.488137540906995,-0.616411588565446
"V11",0.914483599054528,-0.476619970152941
"V12",0.484006559464505,-0.264658638981533
"V13",-0.385042772208342,0.344187004462758
"V14",-0.586651474970085,-0.230164880303043
"V15",0.106812143445289,-0.886798327428457
"V16",-0.139696657749043,-0.120977620637623
"V17",-0.505454955359685,0.90459755691317
"V18",-0.572424919590741,1.17113705265143
"V19",-1.48299318599783,1.04565796296479
"V20",-1.23503654801676,0.794135268026954
"V21",-0.405712836037895,0.833484497761317
"V22",-0.469507689039586,1.10902164517853
"V23",-0.121897219000188,0.659294942848919
"V24",-0.545721506305863,0.66270638490784
"V25",-0.881396340067618,0.952471327625691
