data;tmedia;umidita
2018-01-01;3.0;94.0
2018-01-02;6.0;100.0
2018-01-03;-2.0;94.0
2018-01-04;13.0;47.0
2018-01-05;15.0;56.0
2018-01-06;23.0;62.0
2018-01-07;27.0;57.0
2018-01-08;29.0;62.0
2018-01-09;19.0;86.0
2018-01-10;14.0;85.0
2018-01-11;12.0;92.0
2018-01-12;3.0;96.0
2018-01-13;4.0;88.0
2018-01-14;3.0;93.0
2018-01-15;3.0;98.0
2018-01-16;4.0;96.0
2018-01-17;5.0;74.0
2018-01-18;6.0;57.0
2018-01-19;6.0;69.0
2018-01-20;4.0;83.0
2018-01-21;7.0;60.0
2018-01-22;6.0;59.0
2018-01-23;4.0;80.0
2018-01-24;6.0;77.0
2018-01-25;6.0;90.0
2018-01-26;6.0;95.0
2018-01-27;7.0;96.0
2018-01-28;4.0;100.0
2018-01-29;4.0;100.0
2018-01-30;2.0;100.0
2018-01-31;6.0;100.0
2018-02-01;6.0;72.0
2018-02-02;6.0;94.0
2018-02-03;0.0;94.0
2018-02-04;12.0;51.0
2018-02-05;13.0;89.0
2018-02-06;23.0;62.0
2018-02-07;26.0;61.0
2018-02-08;27.0;63.0
2018-02-09;19.0;82.0
2018-02-10;14.0;72.0
2018-02-11;13.0;95.0
2018-02-12;4.0;91.0
2018-02-13;4.0;67.0
2018-02-14;3.0;58.0
2018-02-15;3.0;63.0
2018-02-16;4.0;70.0
2018-02-17;6.0;70.0
2018-02-18;5.0;85.0
2018-02-19;5.0;68.0
2018-02-20;4.0;69.0
2018-02-21;5.0;68.0
2018-02-22;4.0;78.0
2018-02-23;3.0;94.0
2018-02-24;6.0;81.0
2018-02-25;2.0;75.0
2018-02-26;-2.0;55.0
2018-02-27;-3.0;56.0
2018-02-28;-3.0;63.0
2018-03-01;4.0;73.0
2018-03-02;5.0;82.0
2018-03-03;0.0;98.0
2018-03-04;12.0;66.0
2018-03-05;15.0;91.0
2018-03-06;24.0;60.0
2018-03-07;27.0;56.0
2018-03-08;28.0;63.0
2018-03-09;21.0;72.0
2018-03-10;15.0;71.0
2018-03-11;14.0;93.0
2018-03-12;7.0;85.0
2018-03-13;11.0;76.0
2018-03-14;12.0;58.0
2018-03-15;8.0;88.0
2018-03-16;10.0;77.0
2018-03-17;9.0;93.0
2018-03-18;7.0;94.0
2018-03-19;4.0;91.0
2018-03-20;6.0;78.0
2018-03-21;6.0;64.0
2018-03-22;6.0;55.0
2018-03-23;7.0;61.0
2018-03-24;8.0;59.0
2018-03-25;9.0;54.0
2018-03-26;10.0;58.0
2018-03-27;11.0;56.0
2018-03-28;11.0;67.0
2018-03-29;12.0;80.0
2018-03-30;13.0;74.0
2018-03-31;11.0;75.0
2018-04-01;6.0;75.0
2018-04-02;4.0;79.0
2018-04-03;2.0;97.0
2018-04-04;10.0;95.0
2018-04-05;18.0;83.0
2018-04-06;21.0;81.0
2018-04-07;25.0;70.0
2018-04-08;29.0;63.0
2018-04-09;21.0;74.0
2018-04-10;17.0;68.0
2018-04-11;15.0;89.0
2018-04-12;8.0;87.0
2018-04-13;12.0;81.0
2018-04-14;14.0;69.0
2018-04-15;14.0;74.0
2018-04-16;17.0;67.0
2018-04-17;18.0;66.0
2018-04-18;19.0;62.0
2018-04-19;19.0;57.0
2018-04-20;20.0;55.0
2018-04-21;21.0;54.0
2018-04-22;20.0;52.0
2018-04-23;20.0;56.0
2018-04-24;21.0;53.0
2018-04-25;22.0;48.0
2018-04-26;21.0;58.0
2018-04-27;19.0;63.0
2018-04-28;20.0;62.0
2018-04-29;21.0;59.0
2018-04-30;18.0;47.0
2018-05-01;5.0;89.0
2018-05-02;5.0;80.0
2018-05-03;5.0;94.0
2018-05-04;13.0;81.0
2018-05-05;19.0;71.0
2018-05-06;23.0;68.0
2018-05-07;24.0;72.0
2018-05-08;29.0;63.0
2018-05-09;22.0;70.0
2018-05-10;16.0;68.0
2018-05-11;15.0;91.0
2018-05-12;6.0;90.0
2018-05-13;19.0;68.0
2018-05-14;15.0;65.0
2018-05-15;14.0;72.0
2018-05-16;16.0;74.0
2018-05-17;19.0;69.0
2018-05-18;20.0;63.0
2018-05-19;20.0;62.0
2018-05-20;19.0;69.0
2018-05-21;19.0;72.0
2018-05-22;17.0;85.0
2018-05-23;20.0;73.0
2018-05-24;22.0;67.0
2018-05-25;24.0;60.0
2018-05-26;24.0;64.0
