data;h.7;h.8;h.9;h.10;h.11;h.12;h.13;h.14;h.15;h.16;h.17;h.18;h.19
2018-01-01;125.4;127.6;128.15;126.5;127.6;128.15;129.8;129.25;130.9;131.45;126.5;128.7;128.15
2018-01-02;130.9;161.7;161.15;163.9;163.35;158.4;159.5;157.3;151.25;150.7;149.6;146.3;145.2
2018-01-03;123.2;160.6;168.85;166.1;166.1;168.85;169.4;165.55;160.6;156.75;151.25;146.3;144.65
2018-01-04;134.2;161.7;167.75;166.65;166.1;163.35;165.0;166.1;158.4;158.95;155.1;150.7;147.95
2018-01-05;136.95;160.6;168.3;169.95;170.5;166.1;168.3;167.75;160.6;157.85;155.65;151.25;145.75
2018-01-06;121.55;123.75;121.55;121.0;123.2;121.55;121.55;122.65;124.85;121.0;118.8;120.45;120.45
2018-01-07;122.1;124.3;121.55;121.0;120.45;121.0;122.65;123.75;123.2;120.45;118.8;119.9;119.9
2018-01-08;130.9;179.85;195.8;195.8;204.05;207.35;208.45;203.5;195.8;190.3;182.6;173.25;157.85
2018-01-09;138.05;191.95;198.0;207.9;206.8;218.35;215.05;209.0;203.5;194.15;186.45;176.55;166.65
2018-01-10;138.6;188.1;191.95;200.75;200.2;210.1;206.8;201.3;197.45;189.2;180.4;171.05;164.45
2018-01-11;143.0;187.55;199.1;208.45;205.15;211.75;211.2;204.6;200.2;194.7;183.15;176.55;166.1
2018-01-12;144.1;194.7;199.1;202.95;200.75;210.1;207.35;207.9;199.1;188.65;179.85;171.05;163.9
2018-01-13;130.35;152.35;154.55;151.8;153.45;152.9;152.35;150.15;129.8;128.7;128.15;127.05;128.15
2018-01-14;131.45;130.9;129.25;130.35;130.35;128.7;130.35;128.7;128.15;130.9;127.05;129.8;128.15
2018-01-15;151.25;194.7;200.2;208.45;210.65;218.9;220.55;210.1;204.6;194.7;188.1;174.35;166.1
2018-01-16;136.95;196.9;201.3;207.9;213.4;214.5;211.75;211.75;201.85;194.15;188.65;182.6;170.5
2018-01-17;132.0;200.75;209.0;209.0;212.85;215.05;219.45;211.2;201.3;196.9;192.5;183.7;167.2
2018-01-18;137.5;204.6;215.05;213.4;209.0;213.95;215.6;210.65;202.4;199.65;190.85;179.85;166.65
2018-01-19;138.05;197.45;200.75;209.55;205.7;211.2;209.55;200.2;202.4;191.4;184.8;174.9;163.9
2018-01-20;130.9;151.8;154.0;152.9;153.45;155.65;154.0;141.9;142.45;139.7;138.6;141.35;140.8
2018-01-21;143.55;143.55;141.9;143.55;144.1;141.35;141.35;141.9;141.9;141.9;137.5;137.5;136.95
2018-01-22;147.4;195.25;208.45;204.05;202.95;213.4;214.5;206.8;201.85;194.7;184.8;172.7;163.35
2018-01-23;137.5;205.15;212.85;209.55;207.9;211.75;210.1;205.7;201.85;193.6;184.25;176.0;162.25
2018-01-24;130.35;196.35;202.95;202.95;199.1;210.1;210.65;203.5;199.1;190.3;181.5;170.5;162.8
2018-01-25;132.0;201.3;205.7;209.0;210.1;217.25;220.55;215.6;212.3;195.8;186.45;173.8;165.55
