"","h.7","h.8","h.9","h.10","h.11","h.12","h.13","h.14","h.15","h.16","h.17","h.18","h.19"
"V15",-0.323023572122545,-0.447381854317504,-0.646244766409385,-0.744506166538346,-0.710925792447943,-0.76709546926721,-0.658677218902057,-0.689460218429294,-0.716972985147805,-0.705963374218694,-0.559636718116574,-0.471269558168867,-0.346824057987306
"V16",-1.70844770323913,-2.04373876685656,-2.18487737197381,-2.24979644490035,-2.11820508663054,-2.10219163433492,-2.22283664790876,-1.99774271316294,-1.9444398616702,-2.12890594881739,-1.8880664776807,-2.01250760256348,-1.97728899224181
"V17",-0.165425101367929,-0.53581171600466,-0.652417557701117,-0.710197275371183,-0.772090105221591,-0.723348807874638,-1.03477813026369,-0.962791927816995,-1.06680069011925,-1.07226301266583,-1.03634410582243,-0.929207749458937,-0.933185112613583
"V18",-0.57244803431524,-0.25286090678739,0.0991509085107647,-0.0767884321515395,-0.16884145854155,0.18151550633198,-0.133809349396294,-0.145849008563291,-0.0127125850846291,-0.210581995859379,-0.409148110829958,-0.536992062405215,-0.735028646125242
"V19",-0.779222978854909,-0.133946311154349,-0.298935657744521,0.0481830992374327,-0.297081722023107,-0.100317727696261,-0.0631541604662735,-0.246410596321554,0.0964922010288879,-0.0943058424996261,-0.153408474204679,-0.0695713021617733,-0.452721035224872
"V20",-0.954999954461965,-0.759237657836432,-1.03706017860209,-0.874729599455295,-1.15082722627987,-0.835543208975948,-0.808348248209823,-0.749375549455697,-0.78331839671231,-0.77274350325229,-0.670319509768456,-0.517908075004342,-0.595247624722771
"V21",-0.21216543201868,-0.565533708621453,-0.761322639519561,-0.581658416513096,-0.645584275219766,-0.878127370579929,-1.0467996572227,-1.0189826754507,-1.01144123919262,-1.07042879749948,-0.92973237087603,-0.853794423677926,-0.785112177405605
"V22",0.328861724979567,0.424768854015216,0.531781980045155,0.507244884926956,0.407999901687335,0.284882944413073,0.0359254440826955,0.0589678098510875,-0.0737362334446519,-0.257018247827697,-0.358148458969999,-0.398077859011292,-0.426487000456556
"V23",0.303646623968097,0.329470343674098,0.261042462953571,0.634785850912858,0.361453065691161,0.394601154133053,0.439334273686138,0.324656154359847,0.287227561614019,0.279983745027227,0.323721745776618,0.295931802502211,0.346825154383196
"V24",0.0213000596897408,0.0730791052825391,-0.174912796890056,0.142987059922342,-0.00991313475069858,0.0711209707307918,0.209152550823983,0.0991269788013645,0.251554005583223,0.102575309285394,0.1325747441508,0.0996664778793142,0.0874367007929703
"V25",-0.523053746273551,-0.946180282712961,-1.16435170696308,-1.11836714574918,-1.20382684182189,-1.24129343268962,-1.00509722115999,-0.998040638789605,-1.01733529469017,-1.03201578814649,-0.872129569372341,-0.966869015053732,-0.771232801322785
