data;consumo_giorno;consumo_orario;consumo_orario_diff;consumo_ora_giorno;consumo_cumulato;tmedia;umidita
2018-01-01;838.2;[63.0, 63.0, 66.6, 64.2, 63.0, 63.6, 63.6, 66.6, 66.0, 63.0, 63.0, 63.6, 69.0];[-7.200000000000003, 0.0, 3.5999999999999943, -2.3999999999999915, -1.2000000000000028, 0.6000000000000014, 0.0, 2.999999999999993, -0.5999999999999943, -3.0, 0.0, 0.6000000000000014, 5.399999999999999];[0.07516105941302792, 0.07516105941302792, 0.07945597709377236, 0.07659269863994274, 0.07516105941302792, 0.07587687902648532, 0.07587687902648532, 0.07945597709377236, 0.07874015748031496, 0.07516105941302792, 0.07516105941302792, 0.07587687902648532, 0.082319255547602];[0.07516105941302792, 0.15032211882605584, 0.22977809591982817, 0.30637079455977095, 0.3815318539727989, 0.4574087329992842, 0.5332856120257695, 0.6127415891195419, 0.6914817465998568, 0.7666428060128847, 0.8418038654259127, 0.917680744452398, 1.0];3.0;94.0
2018-01-02;922.8;[63.0, 64.2, 71.4, 69.0, 72.6, 73.2, 73.2, 73.2, 70.8, 75.6, 70.8, 72.0, 73.8];[-0.6000000000000014, 1.2000000000000028, 7.200000000000003, -2.4000000000000057, 3.5999999999999943, 0.6000000000000085, 0.0, 0.0, -2.4000000000000057, 4.799999999999997, -4.799999999999997, 1.2000000000000028, 1.7999999999999972];[0.06827048114434331, 0.06957087126137843, 0.07737321196358908, 0.07477243172951886, 0.07867360208062418, 0.07932379713914176, 0.07932379713914176, 0.07932379713914176, 0.07672301690507152, 0.08192457737321196, 0.07672301690507152, 0.07802340702210664, 0.0799739921976593];[0.06827048114434331, 0.13784135240572173, 0.21521456436931083, 0.28998699609882966, 0.3686605981794539, 0.44798439531859563, 0.5273081924577374, 0.6066319895968791, 0.6833550065019507, 0.7652795838751626, 0.8420026007802341, 0.9200260078023408, 1.0];6.0;100.0
2018-01-03;969.6;[83.4, 78.0, 78.6, 78.6, 82.2, 78.0, 70.8, 69.6, 71.4, 69.6, 70.8, 69.6, 69.0];[6.0, -5.400000000000006, 0.5999999999999943, 0.0, 3.6000000000000085, -4.200000000000003, -7.200000000000003, -1.2000000000000028, 1.8000000000000114, -1.8000000000000114, 1.2000000000000028, -1.2000000000000028, -0.5999999999999943];[0.08601485148514852, 0.08044554455445545, 0.08106435643564355, 0.08106435643564355, 0.08477722772277228, 0.08044554455445545, 0.07301980198019802, 0.07178217821782178, 0.07363861386138615, 0.07178217821782178, 0.07301980198019802, 0.07178217821782178, 0.07116336633663366];[0.08601485148514852, 0.16646039603960397, 0.24752475247524752, 0.3285891089108911, 0.41336633663366334, 0.4938118811881188, 0.5668316831683169, 0.6386138613861386, 0.7122524752475248, 0.7840346534653465, 0.8570544554455445, 0.9288366336633663, 1.0];-2.0;94.0
2018-01-04;952.2;[73.2, 78.6, 72.6, 76.8, 78.0, 73.2, 69.6, 66.6, 74.4, 75.0, 72.6, 72.0, 69.6];[-3.5999999999999943, 5.3999999999999915, -6.0, 4.200000000000003, 1.2000000000000028, -4.799999999999997, -3.6000000000000085, -3.0, 7.800000000000011, 0.5999999999999943, -2.4000000000000057, -0.5999999999999943, -2.4000000000000057];[0.07687460617517328, 0.08254568367989917, 0.07624448645242596, 0.0806553245116572, 0.08191556395715185, 0.07687460617517328, 0.07309388783868934, 0.06994328922495273, 0.07813484562066793, 0.07876496534341525, 0.07624448645242596, 0.07561436672967864, 0.07309388783868934];[0.07687460617517328, 0.15942028985507248, 0.2356647763074984, 0.3163201008191556, 0.39823566477630745, 0.47511027095148073, 0.5482041587901701, 0.6181474480151229, 0.6962822936357907, 0.775047258979206, 0.851291745431632, 0.9269061121613106, 1.0];13.0;47.0
2018-01-05;980.4000000000001;[73.2, 76.8, 81.0, 81.6, 81.6, 78.6, 74.4, 73.2, 72.0, 70.8, 72.6, 72.6, 72.0];[-3.5999999999999943, 3.5999999999999943, 4.200000000000003, 0.5999999999999943, 0.0, -3.0, -4.199999999999989, -1.2000000000000028, -1.2000000000000028, -1.2000000000000028, 1.7999999999999972, 0.0, -0.5999999999999943];[0.07466340269277845, 0.07833537331701346, 0.08261933904528763, 0.08323133414932679, 0.08323133414932679, 0.08017135862913095, 0.07588739290085679, 0.07466340269277845, 0.07343941248470011, 0.07221542227662178, 0.07405140758873928, 0.07405140758873928, 0.07343941248470011];[0.07466340269277845, 0.15299877600979192, 0.23561811505507954, 0.31884944920440633, 0.4020807833537332, 0.48225214198286415, 0.5581395348837209, 0.6328029375764994, 0.7062423500611995, 0.7784577723378213, 0.8525091799265606, 0.9265605875152999, 1.0];15.0;56.0
2018-01-06;902.4;[75.6, 74.4, 74.4, 81.0, 76.2, 67.8, 65.4, 68.4, 67.2, 63.0, 62.4, 63.0, 63.6];[-3.6000000000000085, -1.1999999999999886, 0.0, 6.599999999999994, -4.799999999999997, -8.400000000000006, -2.3999999999999915, 3.0, -1.2000000000000028, -4.200000000000003, -0.6000000000000014, 0.6000000000000014, 0.6000000000000014];[0.08377659574468084, 0.0824468085106383, 0.0824468085106383, 0.08976063829787234, 0.08444148936170214, 0.07513297872340426, 0.07247340425531916, 0.07579787234042554, 0.07446808510638299, 0.06981382978723405, 0.06914893617021277, 0.06981382978723405, 0.07047872340425532];[0.08377659574468084, 0.16622340425531915, 0.24867021276595747, 0.33843085106382975, 0.4228723404255319, 0.49800531914893614, 0.5704787234042553, 0.6462765957446808, 0.7207446808510638, 0.7905585106382979, 0.8597074468085106, 0.9295212765957447, 1.0];23.0;62.0
2018-01-07;937.8;[77.4, 75.0, 75.6, 78.0, 84.6, 73.2, 67.8, 68.4, 72.0, 65.4, 66.0, 69.0, 65.4];[3.0, -2.4000000000000057, 0.5999999999999943, 2.4000000000000057, 6.599999999999994, -11.399999999999991, -5.400000000000006, 0.6000000000000085, 3.5999999999999943, -6.599999999999994, 0.5999999999999943, 3.0, -3.5999999999999943];[0.08253358925143955, 0.0799744081893794, 0.08061420345489444, 0.08317338451695458, 0.09021113243761995, 0.0780550223928343, 0.07229686500319897, 0.07293666026871402, 0.07677543186180423, 0.06973768394113884, 0.07037747920665387, 0.07357645553422905, 0.06973768394113884];[0.08253358925143955, 0.16250799744081895, 0.24312220089571338, 0.32629558541266795, 0.416506717850288, 0.4945617402431222, 0.5668586052463213, 0.6397952655150352, 0.7165706973768394, 0.7863083813179783, 0.8566858605246321, 0.9302623160588612, 1.0];27.0;57.0
2018-01-08;1131.6;[67.2, 73.8, 82.2, 90.6, 92.4, 96.6, 91.8, 91.2, 89.4, 91.2, 96.0, 87.6, 81.6];[-1.2000000000000028, 6.599999999999994, 8.400000000000006, 8.399999999999991, 1.8000000000000114, 4.199999999999989, -4.799999999999997, -0.5999999999999943, -1.7999999999999972, 1.7999999999999972, 4.799999999999997, -8.400000000000006, -6.0];[0.05938494167550372, 0.06521739130434782, 0.0726405090137858, 0.08006362672322376, 0.08165429480381761, 0.08536585365853659, 0.08112407211028633, 0.08059384941675504, 0.0790031813361612, 0.08059384941675504, 0.08483563096500531, 0.07741251325556733, 0.07211028632025451];[0.05938494167550372, 0.12460233297985154, 0.19724284199363734, 0.27730646871686104, 0.3589607635206786, 0.4443266171792153, 0.5254506892895016, 0.6060445387062566, 0.6850477200424178, 0.7656415694591729, 0.8504772004241782, 0.9278897136797456, 1.0];29.0;62.0
2018-01-09;1252.2;[79.2, 85.8, 87.0, 102.6, 105.0, 106.8, 111.0, 106.2, 102.6, 97.2, 92.4, 90.6, 85.8];[-1.2000000000000028, 6.599999999999994, 1.2000000000000028, 15.599999999999994, 2.4000000000000057, 1.7999999999999972, 4.200000000000003, -4.799999999999997, -3.6000000000000085, -5.3999999999999915, -4.799999999999997, -1.8000000000000114, -4.799999999999997];[0.06324868231911836, 0.06851940584571155, 0.06947771921418304, 0.0819357930043124, 0.08385241974125539, 0.08528988979396263, 0.08864398658361283, 0.08481073310972688, 0.0819357930043124, 0.0776233828461907, 0.07379012937230475, 0.0723526593195975, 0.06851940584571155];[0.06324868231911836, 0.1317680881648299, 0.20124580737901293, 0.28318160038332535, 0.36703402012458075, 0.4523239099185433, 0.5409678965021562, 0.6257786296118831, 0.7077144226161955, 0.7853378054623863, 0.8591279348346911, 0.9314805941542885, 1.0];19.0;86.0
2018-01-10;1161.0000000000002;[78.6, 84.0, 97.8, 96.0, 96.6, 94.2, 90.6, 97.2, 92.4, 85.2, 85.2, 83.4, 79.8];[-3.0, 5.400000000000006, 13.799999999999997, -1.7999999999999972, 0.5999999999999943, -2.3999999999999915, -3.6000000000000085, 6.6000000000000085, -4.799999999999997, -7.200000000000003, 0.0, -1.7999999999999972, -3.6000000000000085];[0.0677002583979328, 0.07235142118863047, 0.08423772609819119, 0.08268733850129198, 0.08320413436692504, 0.08113695090439275, 0.07803617571059429, 0.08372093023255812, 0.07958656330749353, 0.07338501291989663, 0.07338501291989663, 0.0718346253229974, 0.06873385012919896];[0.0677002583979328, 0.14005167958656328, 0.22428940568475444, 0.3069767441860464, 0.3901808785529715, 0.4713178294573643, 0.5493540051679586, 0.6330749354005167, 0.7126614987080103, 0.786046511627907, 0.8594315245478036, 0.9312661498708011, 1.0];14.0;85.0
2018-01-11;1182.6000000000001;[79.2, 80.4, 87.6, 99.0, 95.4, 98.4, 92.4, 91.2, 93.6, 93.0, 94.2, 93.0, 85.2];[-2.3999999999999915, 1.2000000000000028, 7.199999999999989, 11.400000000000006, -3.5999999999999943, 3.0, -6.0, -1.2000000000000028, 2.3999999999999915, -0.5999999999999943, 1.2000000000000028, -1.2000000000000028, -7.799999999999997];[0.0669710806697108, 0.06798579401319127, 0.07407407407407406, 0.0837138508371385, 0.0806697108066971, 0.08320649416539827, 0.07813292744799594, 0.07711821410451547, 0.07914764079147639, 0.07864028411973617, 0.07965499746321664, 0.07864028411973617, 0.07204464738711314];[0.0669710806697108, 0.13495687468290207, 0.20903094875697614, 0.29274479959411465, 0.37341451040081175, 0.45662100456621, 0.534753932014206, 0.6118721461187214, 0.6910197869101978, 0.769660071029934, 0.8493150684931506, 0.9279553526128869, 1.0];12.0;92.0
2018-01-12;1228.2;[91.2, 93.6, 102.6, 94.2, 100.8, 100.2, 96.6, 95.4, 95.4, 100.2, 91.2, 85.8, 81.0];[1.2000000000000028, 2.3999999999999915, 9.0, -8.399999999999991, 6.599999999999994, -0.5999999999999943, -3.6000000000000085, -1.1999999999999886, 0.0, 4.799999999999997, -9.0, -5.400000000000006, -4.799999999999997];[0.07425500732779677, 0.07620908646800195, 0.08353688324377137, 0.07669760625305325, 0.08207132388861749, 0.08158280410356619, 0.07865168539325842, 0.07767464582315584, 0.07767464582315584, 0.08158280410356619, 0.07425500732779677, 0.06985832926233512, 0.06595017098192477];[0.07425500732779677, 0.15046409379579873, 0.23400097703957007, 0.3106985832926233, 0.39276990718124083, 0.47435271128480705, 0.5530043966780654, 0.6306790425012213, 0.7083536883243771, 0.7899364924279434, 0.8641914997557402, 0.9340498290180752, 1.0];3.0;96.0
2018-01-13;987.0000000000002;[80.4, 77.4, 76.8, 79.8, 74.4, 76.8, 75.0, 76.8, 72.0, 73.2, 78.0, 73.2, 73.2];[16.200000000000003, -3.0, -0.6000000000000085, 3.0, -5.3999999999999915, 2.3999999999999915, -1.7999999999999972, 1.7999999999999972, -4.799999999999997, 1.2000000000000028, 4.799999999999997, -4.799999999999997, 0.0];[0.08145896656534952, 0.07841945288753799, 0.07781155015197566, 0.08085106382978721, 0.07537993920972644, 0.07781155015197566, 0.07598784194528874, 0.07781155015197566, 0.07294832826747719, 0.07416413373860181, 0.07902735562310029, 0.07416413373860181, 0.07416413373860181];[0.08145896656534952, 0.1598784194528875, 0.2376899696048632, 0.3185410334346504, 0.39392097264437687, 0.4717325227963526, 0.5477203647416413, 0.6255319148936169, 0.6984802431610941, 0.772644376899696, 0.8516717325227963, 0.9258358662613981, 1.0];4.0;88.0
