data;consumo_giorno;consumo_orario;consumo_orario_diff;consumo_ora_giorno;consumo_cumulato;tmedia;umidita
2018-01-01;1668.1500000000003;[125.4, 127.6, 128.15, 126.5, 127.6, 128.15, 129.8, 129.25, 130.9, 131.45, 126.5, 128.7, 128.15];[2.75, 2.1999999999999886, 0.5500000000000114, -1.6500000000000057, 1.0999999999999943, 0.5500000000000114, 1.6500000000000057, -0.5500000000000114, 1.6500000000000057, 0.549999999999983, -4.949999999999989, 2.1999999999999886, -0.549999999999983];[0.07517309594460929, 0.07649192218925155, 0.07682162875041212, 0.07583250906693041, 0.07649192218925155, 0.07682162875041212, 0.07781074843389382, 0.07748104187273325, 0.07847016155621496, 0.07879986811737551, 0.07583250906693041, 0.07715133531157267, 0.07682162875041212];[0.07517309594460929, 0.15166501813386082, 0.22848664688427295, 0.30431915595120335, 0.3808110781404549, 0.45763270689086705, 0.5354434553247609, 0.6129244971974941, 0.6913946587537092, 0.7701945268710847, 0.8460270359380151, 0.9231783712495878, 1.0];3.0;94.0
2018-01-02;1999.25;[130.9, 161.7, 161.15, 163.9, 163.35, 158.4, 159.5, 157.3, 151.25, 150.7, 149.6, 146.3, 145.2];[8.800000000000011, 30.799999999999983, -0.549999999999983, 2.75, -0.5500000000000114, -4.949999999999989, 1.0999999999999943, -2.1999999999999886, -6.050000000000011, -0.5500000000000114, -1.0999999999999943, -3.299999999999983, -1.1000000000000227];[0.06547455295735902, 0.08088033012379642, 0.08060522696011005, 0.08198074277854196, 0.08170563961485557, 0.07922971114167814, 0.07977991746905089, 0.07867950481430537, 0.07565337001375516, 0.07537826685006876, 0.07482806052269601, 0.07317744154057772, 0.07262723521320495];[0.06547455295735902, 0.14635488308115543, 0.22696011004126548, 0.30894085281980743, 0.390646492434663, 0.46987620357634113, 0.5496561210453921, 0.6283356258596974, 0.7039889958734525, 0.7793672627235214, 0.8541953232462174, 0.927372764786795, 1.0];6.0;100.0
2018-01-03;2048.2;[123.2, 160.6, 168.85, 166.1, 166.1, 168.85, 169.4, 165.55, 160.6, 156.75, 151.25, 146.3, 144.65];[1.6500000000000057, 37.39999999999999, 8.25, -2.75, 0.0, 2.75, 0.5500000000000114, -3.8499999999999943, -4.950000000000017, -3.8499999999999943, -5.5, -4.949999999999989, -1.6500000000000057];[0.06015037593984963, 0.07841031149301826, 0.08243823845327605, 0.08109559613319012, 0.08109559613319012, 0.08243823845327605, 0.08270676691729324, 0.08082706766917294, 0.07841031149301826, 0.07653061224489796, 0.0738453276047261, 0.07142857142857144, 0.07062298603651988];[0.06015037593984963, 0.1385606874328679, 0.22099892588614395, 0.30209452201933407, 0.38319011815252424, 0.46562835660580026, 0.5483351235230935, 0.6291621911922665, 0.7075725026852847, 0.7841031149301827, 0.8579484425349088, 0.9293770139634802, 1.0];-2.0;94.0
2018-01-04;2061.95;[134.2, 161.7, 167.75, 166.65, 166.1, 163.35, 165.0, 166.1, 158.4, 158.95, 155.1, 150.7, 147.95];[13.749999999999986, 27.5, 6.050000000000011, -1.0999999999999943, -0.5500000000000114, -2.75, 1.6500000000000057, 1.0999999999999943, -7.699999999999989, 0.549999999999983, -3.8499999999999943, -4.400000000000006, -2.75];[0.06508402240597493, 0.07842091224326488, 0.08135502800746866, 0.08082155241397707, 0.08055481461723127, 0.07922112563350227, 0.08002133902373967, 0.08055481461723127, 0.07682048546279009, 0.07708722325953588, 0.0752200586823153, 0.07308615630834889, 0.0717524673246199];[0.06508402240597493, 0.1435049346492398, 0.22485996265670846, 0.3056815150706855, 0.3862363296879168, 0.4654574553214191, 0.5454787943451588, 0.62603360896239, 0.7028540944251801, 0.779941317684716, 0.8551613763670313, 0.9282475326753802, 1.0];13.0;47.0
2018-01-05;2079.55;[136.95, 160.6, 168.3, 169.95, 170.5, 166.1, 168.3, 167.75, 160.6, 157.85, 155.65, 151.25, 145.75];[17.599999999999994, 23.650000000000006, 7.700000000000017, 1.6499999999999773, 0.5500000000000114, -4.400000000000006, 2.200000000000017, -0.5500000000000114, -7.150000000000006, -2.75, -2.1999999999999886, -4.400000000000006, -5.5];[0.065855593758265, 0.07722824649563606, 0.08093097064268712, 0.0817244115313409, 0.08198889182755884, 0.07987304945781538, 0.08093097064268712, 0.08066649034646918, 0.07722824649563606, 0.0759058450145464, 0.07484792382967469, 0.07273208145993122, 0.07008727849775191];[0.065855593758265, 0.14308384025390106, 0.22401481089658817, 0.30573922242792906, 0.3877281142554879, 0.4676011637133033, 0.5485321343559905, 0.6291986247024597, 0.7064268711980957, 0.782332716212642, 0.8571806400423168, 0.929912721502248, 1.0];15.0;56.0
2018-01-06;1582.35;[121.55, 123.75, 121.55, 121.0, 123.2, 121.55, 121.55, 122.65, 124.85, 121.0, 118.8, 120.45, 120.45];[1.0999999999999943, 2.200000000000003, -2.200000000000003, -0.5499999999999972, 2.200000000000003, -1.6500000000000057, 0.0, 1.1000000000000085, 2.1999999999999886, -3.8499999999999943, -2.200000000000003, 1.6500000000000057, 0.0];[0.07681612791101843, 0.07820646506777894, 0.07681612791101843, 0.0764685436218283, 0.07785888077858881, 0.07681612791101843, 0.07681612791101843, 0.07751129648939868, 0.0789016336461592, 0.0764685436218283, 0.07507820646506778, 0.07612095933263817, 0.07612095933263817];[0.07681612791101843, 0.15502259297879736, 0.2318387208898158, 0.3083072645116441, 0.38616614529023296, 0.46298227320125135, 0.5397984011122697, 0.6173096976016684, 0.6962113312478275, 0.7726798748696558, 0.8477580813347236, 0.9238790406673618, 1.0];23.0;62.0
2018-01-07;1579.0500000000002;[122.1, 124.3, 121.55, 121.0, 120.45, 121.0, 122.65, 123.75, 123.2, 120.45, 118.8, 119.9, 119.9];[1.0999999999999943, 2.200000000000003, -2.75, -0.5499999999999972, -0.5499999999999972, 0.5499999999999972, 1.6500000000000057, 1.0999999999999943, -0.5499999999999972, -2.75, -1.6500000000000057, 1.1000000000000085, 0.0];[0.077324973876698, 0.07871821664925112, 0.07697666318355972, 0.07662835249042145, 0.07628004179728316, 0.07662835249042145, 0.07767328456983628, 0.07836990595611285, 0.07802159526297457, 0.07628004179728316, 0.07523510971786833, 0.07593173110414489, 0.07593173110414489];[0.077324973876698, 0.15604319052594912, 0.23301985370950884, 0.3096482061999303, 0.3859282479972135, 0.4625566004876349, 0.5402298850574712, 0.618599791013584, 0.6966213862765586, 0.7729014280738418, 0.84813653779171, 0.924068268895855, 1.0];27.0;57.0
2018-01-08;2425.5;[130.9, 179.85, 195.8, 195.8, 204.05, 207.35, 208.45, 203.5, 195.8, 190.3, 182.6, 173.25, 157.85];[11.550000000000011, 48.94999999999999, 15.950000000000017, 0.0, 8.25, 3.299999999999983, 1.0999999999999943, -4.949999999999989, -7.699999999999989, -5.5, -7.700000000000017, -9.349999999999994, -15.400000000000006];[0.05396825396825397, 0.07414965986394557, 0.08072562358276644, 0.08072562358276644, 0.08412698412698413, 0.0854875283446712, 0.08594104308390023, 0.08390022675736962, 0.08072562358276644, 0.07845804988662132, 0.07528344671201814, 0.07142857142857142, 0.06507936507936507];[0.05396825396825397, 0.12811791383219956, 0.208843537414966, 0.28956916099773244, 0.3736961451247166, 0.45918367346938777, 0.545124716553288, 0.6290249433106576, 0.7097505668934241, 0.7882086167800453, 0.8634920634920635, 0.9349206349206349, 1.0];29.0;62.0
2018-01-09;2512.4;[138.05, 191.95, 198.0, 207.9, 206.8, 218.35, 215.05, 209.0, 203.5, 194.15, 186.45, 176.55, 166.65];[8.800000000000011, 53.89999999999998, 6.050000000000011, 9.900000000000006, -1.0999999999999943, 11.549999999999983, -3.299999999999983, -6.050000000000011, -5.5, -9.349999999999994, -7.700000000000017, -9.899999999999977, -9.900000000000006];[0.054947460595446584, 0.07640105078809106, 0.07880910683012259, 0.08274956217162872, 0.08231173380035027, 0.08690893169877408, 0.0855954465849387, 0.08318739054290718, 0.08099824868651488, 0.07727670753064798, 0.07421190893169877, 0.07027145359019264, 0.06633099824868652];[0.054947460595446584, 0.13134851138353765, 0.21015761821366025, 0.29290718038528896, 0.37521891418563924, 0.4621278458844133, 0.5477232924693519, 0.6309106830122592, 0.711908931698774, 0.7891856392294221, 0.8633975481611207, 0.9336690017513134, 1.0];19.0;86.0
2018-01-10;2440.35;[138.6, 188.1, 191.95, 200.75, 200.2, 210.1, 206.8, 201.3, 197.45, 189.2, 180.4, 171.05, 164.45];[12.099999999999994, 49.5, 3.8499999999999943, 8.800000000000011, -0.5500000000000114, 9.900000000000006, -3.299999999999983, -5.5, -3.8500000000000227, -8.25, -8.799999999999983, -9.349999999999994, -6.600000000000023];[0.056795131845841784, 0.07707910750507099, 0.07865675005634437, 0.08226279017354068, 0.0820374126662159, 0.08609420779806175, 0.08474194275411315, 0.08248816768086546, 0.08091052512959207, 0.07752986251972054, 0.07392382240252424, 0.07009240477800316, 0.06738787469010593];[0.056795131845841784, 0.13387423935091278, 0.21253098940725715, 0.29479377958079783, 0.3768311922470137, 0.46292540004507543, 0.5476673427991886, 0.630155510480054, 0.7110660356096461, 0.7885958981293666, 0.862519720531891, 0.9326121253098941, 1.0];14.0;85.0
