data;consumo_giorno;consumo_orario;consumo_orario_diff;consumo_ora_giorno;consumo_cumulato;tmedia;umidita
2019-01-01;1901.9000000000003;[124.3, 149.05, 148.5, 148.5, 147.95, 147.95, 147.95, 147.95, 147.95, 147.95, 147.95, 148.5, 147.4];[1.0999999999999943, 24.750000000000014, -0.5500000000000114, 0.0, -0.5500000000000114, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5500000000000114, -1.0999999999999943];[0.0653556969346443, 0.07836899942163099, 0.07807981492192018, 0.07807981492192018, 0.07779063042220935, 0.07779063042220935, 0.07779063042220935, 0.07779063042220935, 0.07779063042220935, 0.07779063042220935, 0.07779063042220935, 0.07807981492192018, 0.07750144592249854];[0.0653556969346443, 0.1437246963562753, 0.22180451127819548, 0.2998843262001156, 0.377674956622325, 0.4554655870445343, 0.5332562174667437, 0.6110468478889531, 0.6888374783111625, 0.7666281087333718, 0.8444187391555812, 0.9224985540775014, 1.0];2.3375;97.29166666666669
2019-01-02;1978.35;[124.85, 150.15, 152.9, 154.0, 156.75, 156.2, 157.85, 157.3, 155.65, 156.75, 153.45, 152.35, 150.15];[2.1999999999999886, 25.30000000000001, 2.75, 1.0999999999999943, 2.75, -0.5500000000000114, 1.6500000000000057, -0.549999999999983, -1.6500000000000057, 1.0999999999999943, -3.3000000000000114, -1.0999999999999943, -2.1999999999999886];[0.06310814567695301, 0.07589658048373646, 0.07728662774534335, 0.07784264664998611, 0.079232693911593, 0.07895468445927162, 0.07978871281623576, 0.07951070336391439, 0.07867667500695025, 0.079232693911593, 0.07756463719766472, 0.07700861829302197, 0.07589658048373646];[0.06310814567695301, 0.13900472616068946, 0.2162913539060328, 0.2941340005560189, 0.3733666944676119, 0.4523213789268835, 0.5321100917431192, 0.6116207951070336, 0.6902974701139838, 0.7695301640255768, 0.8470948012232415, 0.9241034195162635, 1.0];5.195833333333334;51.83333333333334
2019-01-03;2035.55;[125.95, 152.9, 157.3, 158.4, 160.05, 160.05, 160.05, 162.25, 161.7, 163.35, 160.05, 157.85, 155.65];[1.6500000000000057, 26.950000000000003, 4.400000000000006, 1.0999999999999943, 1.6500000000000057, 0.0, 0.0, 2.1999999999999886, -0.5500000000000114, 1.6500000000000057, -3.299999999999983, -2.200000000000017, -2.1999999999999886];[0.06187516887327749, 0.07511483382869495, 0.07727641178059985, 0.07781680626857607, 0.0786273980005404, 0.0786273980005404, 0.0786273980005404, 0.07970818697649285, 0.07943798973250472, 0.08024858146446906, 0.0786273980005404, 0.07754660902458795, 0.0764658200486355];[0.06187516887327749, 0.13699000270197245, 0.2142664144825723, 0.2920832207511484, 0.3707106187516888, 0.4493380167522292, 0.5279654147527696, 0.6076736017292624, 0.6871115914617671, 0.7673601729262362, 0.8459875709267766, 0.9235341799513644, 1.0];2.9041666666666663;45.95833333333334
2019-01-04;2043.7999999999997;[130.9, 154.55, 158.4, 161.7, 160.6, 161.15, 160.6, 162.25, 161.15, 160.6, 159.5, 157.3, 155.1];[2.200000000000017, 23.650000000000006, 3.8499999999999943, 3.299999999999983, -1.0999999999999943, 0.5500000000000114, -0.5500000000000114, 1.6500000000000057, -1.0999999999999943, -0.5500000000000114, -1.0999999999999943, -2.1999999999999886, -2.200000000000017];[0.06404736275565125, 0.07561894510226051, 0.07750269106566202, 0.0791173304628633, 0.07857911733046287, 0.07884822389666309, 0.07857911733046287, 0.07938643702906352, 0.07884822389666309, 0.07857911733046287, 0.07804090419806245, 0.07696447793326158, 0.07588805166846072];[0.06404736275565125, 0.1396663078579118, 0.21716899892357377, 0.29628632938643706, 0.3748654467168999, 0.453713670613563, 0.5322927879440258, 0.6116792249730894, 0.6905274488697525, 0.7691065662002153, 0.8471474703982778, 0.9241119483315393, 1.0];-0.3875000000000002;69.29166666666667
2019-01-05;1916.7500000000002;[128.15, 149.05, 148.5, 150.15, 151.25, 149.6, 150.15, 151.25, 151.25, 150.15, 148.5, 144.1, 144.65];[1.6500000000000057, 20.900000000000006, -0.5500000000000114, 1.6500000000000057, 1.0999999999999943, -1.6500000000000057, 0.5500000000000114, 1.0999999999999943, 0.0, -1.0999999999999943, -1.6500000000000057, -4.400000000000006, 0.5500000000000114];[0.06685796269727402, 0.07776183644189383, 0.07747489239598278, 0.07833572453371591, 0.07890961262553801, 0.07804878048780486, 0.07833572453371591, 0.07890961262553801, 0.07890961262553801, 0.07833572453371591, 0.07747489239598278, 0.07517934002869439, 0.07546628407460544];[0.06685796269727402, 0.14461979913916786, 0.22209469153515066, 0.30043041606886656, 0.3793400286944046, 0.4573888091822094, 0.5357245337159254, 0.6146341463414634, 0.6935437589670014, 0.7718794835007173, 0.8493543758967002, 0.9245337159253945, 1.0];0.3999999999999999;74.375
2019-01-06;1650.55;[127.05, 127.05, 127.05, 127.05, 127.05, 127.05, 127.6, 127.6, 127.05, 127.05, 126.5, 125.95, 126.5];[0.5499999999999972, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5499999999999972, 0.0, -0.5499999999999972, 0.0, -0.5499999999999972, -0.5499999999999972, 0.5499999999999972];[0.076974341886038, 0.076974341886038, 0.076974341886038, 0.076974341886038, 0.076974341886038, 0.076974341886038, 0.0773075641452849, 0.0773075641452849, 0.076974341886038, 0.076974341886038, 0.07664111962679107, 0.07630789736754416, 0.07664111962679107];[0.076974341886038, 0.153948683772076, 0.23092302565811396, 0.307897367544152, 0.38487170943018995, 0.4618460513162279, 0.5391536154615129, 0.6164611796067978, 0.6934355214928357, 0.7704098633788736, 0.8470509830056647, 0.9233588803732089, 1.0];2.8041666666666667;74.5
2019-01-07;2464.0;[141.35, 185.35, 198.0, 202.95, 205.7, 213.4, 215.05, 201.3, 197.45, 189.2, 181.5, 169.95, 162.8];[15.399999999999991, 44.0, 12.650000000000006, 4.949999999999989, 2.75, 7.700000000000017, 1.6500000000000057, -13.75, -3.8500000000000227, -8.25, -7.699999999999989, -11.550000000000011, -7.149999999999977];[0.057366071428571426, 0.07522321428571428, 0.08035714285714286, 0.08236607142857143, 0.08348214285714285, 0.08660714285714285, 0.08727678571428572, 0.08169642857142857, 0.08013392857142856, 0.07678571428571428, 0.07366071428571429, 0.06897321428571428, 0.06607142857142857];[0.057366071428571426, 0.13258928571428572, 0.2129464285714286, 0.29531250000000003, 0.3787946428571429, 0.4654017857142858, 0.5526785714285715, 0.634375, 0.7145089285714287, 0.7912946428571429, 0.8649553571428571, 0.9339285714285713, 1.0];1.6291666666666669;87.29166666666669
2019-01-08;2512.9500000000003;[146.85, 199.1, 208.45, 207.9, 208.45, 213.4, 213.4, 203.5, 198.55, 191.4, 183.7, 174.9, 163.35];[17.599999999999994, 52.25, 9.349999999999994, -0.549999999999983, 0.549999999999983, 4.950000000000017, 0.0, -9.900000000000006, -4.949999999999989, -7.150000000000006, -7.700000000000017, -8.799999999999983, -11.550000000000011];[0.05843729481286933, 0.07922959072007002, 0.08295031735609541, 0.08273145108338804, 0.08295031735609541, 0.0849201138104618, 0.0849201138104618, 0.08098052090172904, 0.07901072444736265, 0.07616546290216678, 0.0731013350842635, 0.06959947472094549, 0.0650032829940906];[0.05843729481286933, 0.13766688553293935, 0.22061720288903477, 0.3033486539724228, 0.38629897132851826, 0.4712190851389801, 0.5561391989494419, 0.6371197198511709, 0.7161304442985336, 0.7922959072007004, 0.865397242284964, 0.9349967170059095, 1.0];1.5416666666666667;98.45833333333331
2019-01-09;2430.9999999999995;[145.75, 193.6, 199.1, 198.55, 202.4, 207.9, 202.4, 199.65, 193.05, 184.8, 177.65, 167.2, 158.95];[16.5, 47.849999999999994, 5.5, -0.549999999999983, 3.8499999999999943, 5.5, -5.5, -2.75, -6.599999999999994, -8.25, -7.150000000000006, -10.450000000000017, -8.25];[0.05995475113122173, 0.07963800904977376, 0.0819004524886878, 0.0816742081447964, 0.08325791855203622, 0.08552036199095024, 0.08325791855203622, 0.0821266968325792, 0.07941176470588238, 0.07601809954751133, 0.0730769230769231, 0.06877828054298643, 0.06538461538461539];[0.05995475113122173, 0.1395927601809955, 0.22149321266968333, 0.30316742081447967, 0.3864253393665159, 0.4719457013574661, 0.5552036199095024, 0.6373303167420816, 0.7167420814479639, 0.7927601809954753, 0.8658371040723983, 0.9346153846153846, 1.0];5.5125;53.875
2019-01-10;2417.25;[136.95, 198.55, 195.8, 200.75, 201.85, 207.35, 204.05, 195.8, 192.5, 184.8, 175.45, 166.65, 156.75];[13.749999999999986, 61.60000000000002, -2.75, 4.949999999999989, 1.0999999999999943, 5.5, -3.299999999999983, -8.25, -3.3000000000000114, -7.699999999999989, -9.350000000000023, -8.799999999999983, -9.900000000000006];[0.05665529010238907, 0.08213879408418658, 0.08100113765642776, 0.08304891922639362, 0.08350398179749716, 0.08577929465301479, 0.08441410693970422, 0.08100113765642776, 0.07963594994311718, 0.0764505119453925, 0.07258248009101251, 0.0689419795221843, 0.06484641638225255];[0.05665529010238907, 0.13879408418657566, 0.2197952218430034, 0.302844141069397, 0.3863481228668942, 0.472127417519909, 0.5565415244596131, 0.6375426621160409, 0.7171786120591581, 0.7936291240045505, 0.8662116040955631, 0.9351535836177475, 1.0];5.2;36.833333333333336
2019-01-11;2394.1500000000005;[144.65, 189.75, 199.1, 191.95, 201.85, 202.4, 198.0, 193.05, 191.95, 180.4, 174.35, 168.3, 158.4];[19.80000000000001, 45.099999999999994, 9.349999999999994, -7.150000000000006, 9.900000000000006, 0.5500000000000114, -4.400000000000006, -4.949999999999989, -1.1000000000000227, -11.549999999999983, -6.050000000000011, -6.049999999999983, -9.900000000000006];[0.06041810245807488, 0.07925568573397655, 0.0831610383643464, 0.08017459223524004, 0.08430967149092577, 0.08453939811624166, 0.08270158511371466, 0.0806340454858718, 0.08017459223524004, 0.0753503331036067, 0.07282334022513208, 0.07029634734665746, 0.06616126809097173];[0.06041810245807488, 0.13967378819205142, 0.22283482655639783, 0.3030094187916379, 0.38731909028256367, 0.47185848839880534, 0.55456007351252, 0.6351941189983917, 0.7153687112336319, 0.7907190443372386, 0.8635423845623706, 0.9338387319090282, 1.0];0.7125;59.16666666666666
2019-01-12;1929.4;[125.4, 147.95, 153.45, 152.35, 154.55, 153.45, 152.35, 150.15, 150.7, 151.25, 149.05, 144.1, 144.65];[1.1000000000000085, 22.549999999999983, 5.5, -1.0999999999999943, 2.200000000000017, -1.1000000000000227, -1.0999999999999943, -2.1999999999999886, 0.549999999999983, 0.5500000000000114, -2.1999999999999886, -4.950000000000017, 0.5500000000000114];[0.06499429874572406, 0.0766818700114025, 0.07953249714937285, 0.07896237172177878, 0.08010262257696693, 0.07953249714937285, 0.07896237172177878, 0.07782212086659065, 0.07810718358038768, 0.07839224629418472, 0.07725199543899658, 0.07468643101482325, 0.07497149372862029];[0.06499429874572406, 0.14167616875712657, 0.22120866590649943, 0.3001710376282782, 0.38027366020524517, 0.45980615735461805, 0.5387685290763968, 0.6165906499429875, 0.6946978335233752, 0.77309007981756, 0.8503420752565565, 0.9250285062713797, 1.0];0.7666666666666667;69.75
2019-01-13;1641.2;[127.05, 126.5, 125.95, 125.95, 125.95, 125.95, 125.95, 127.05, 127.05, 127.05, 126.5, 124.85, 125.4];[1.6499999999999915, -0.5499999999999972, -0.5499999999999972, 0.0, 0.0, 0.0, 0.0, 1.0999999999999943, 0.0, 0.0, -0.5499999999999972, -1.6500000000000057, 0.5500000000000114];[0.07741286863270777, 0.07707774798927614, 0.0767426273458445, 0.0767426273458445, 0.0767426273458445, 0.0767426273458445, 0.0767426273458445, 0.07741286863270777, 0.07741286863270777, 0.07741286863270777, 0.07707774798927614, 0.07607238605898123, 0.07640750670241286];[0.07741286863270777, 0.1544906166219839, 0.2312332439678284, 0.30797587131367293, 0.3847184986595174, 0.46146112600536193, 0.5382037533512065, 0.6156166219839142, 0.693029490616622, 0.7704423592493298, 0.8475201072386059, 0.9235924932975871, 1.0];2.3583333333333334;77.5
2019-01-14;2442.55;[143.0, 187.0, 196.35, 205.7, 203.5, 205.15, 205.15, 201.3, 196.35, 188.1, 179.3, 169.4, 162.25];[19.799999999999997, 44.0, 9.349999999999994, 9.349999999999994, -2.1999999999999886, 1.6500000000000057, 0.0, -3.8499999999999943, -4.950000000000017, -8.25, -8.799999999999983, -9.900000000000006, -7.150000000000006];[0.05854537266381445, 0.07655933348344966, 0.08038730015762215, 0.08421526683179463, 0.08331456879081288, 0.08399009232154919, 0.08399009232154919, 0.08241387074983111, 0.08038730015762215, 0.07700968250394055, 0.0734068903400135, 0.06935374915559558, 0.06642648052240487];[0.05854537266381445, 0.1351047061472641, 0.21549200630488627, 0.2997072731366809, 0.3830218419274938, 0.46701193424904297, 0.5510020265705923, 0.6334158973204234, 0.7138031974780454, 0.7908128799819859, 0.8642197703219995, 0.9335735194775951, 1.0];10.958333333333336;44.45833333333334
2019-01-15;2433.2;[138.6, 196.9, 199.65, 195.8, 200.2, 204.05, 204.6, 199.1, 194.15, 188.65, 181.5, 169.95, 160.05];[13.75, 58.30000000000001, 2.75, -3.8499999999999943, 4.399999999999977, 3.8500000000000227, 0.549999999999983, -5.5, -4.949999999999989, -5.5, -7.150000000000006, -11.550000000000011, -9.899999999999977];[0.0569620253164557, 0.08092224231464738, 0.08205244122965642, 0.08047016274864377, 0.08227848101265824, 0.0838607594936709, 0.0840867992766727, 0.08182640144665461, 0.07979204339963834, 0.07753164556962026, 0.07459312839059674, 0.06984629294755877, 0.06577757685352623];[0.0569620253164557, 0.1378842676311031, 0.2199367088607595, 0.30040687160940327, 0.38268535262206155, 0.46654611211573244, 0.5506329113924051, 0.6324593128390597, 0.7122513562386981, 0.7897830018083184, 0.864376130198915, 0.9342224231464737, 1.0];5.879166666666666;52.25
2019-01-16;2476.65;[140.25, 195.8, 202.4, 204.05, 208.45, 211.2, 210.1, 205.15, 199.1, 188.65, 181.5, 168.85, 161.15];[15.950000000000003, 55.55000000000001, 6.599999999999994, 1.6500000000000057, 4.399999999999977, 2.75, -1.0999999999999943, -4.949999999999989, -6.050000000000011, -10.449999999999989, -7.150000000000006, -12.650000000000006, -7.699999999999989];[0.056628914057295136, 0.07905840550743949, 0.08172329558072396, 0.08238951809904509, 0.08416611148123472, 0.08527648234510325, 0.08483233399955585, 0.08283366644459249, 0.08039085054408172, 0.0761714412613813, 0.07328447701532312, 0.06817677104152786, 0.06506773262269598];[0.056628914057295136, 0.13568731956473462, 0.2174106151454586, 0.29980013324450366, 0.3839662447257384, 0.4692427270708417, 0.5540750610703975, 0.6369087275149901, 0.7172995780590717, 0.793471019320453, 0.8667554963357762, 0.934932267377304, 1.0];5.258333333333334;73.45833333333333
2019-01-17;2469.5;[135.3, 193.6, 200.75, 207.35, 209.55, 209.55, 212.3, 204.6, 198.55, 190.85, 179.3, 170.5, 157.3];[11.000000000000014, 58.29999999999998, 7.150000000000006, 6.599999999999994, 2.200000000000017, 0.0, 2.75, -7.700000000000017, -6.049999999999983, -7.700000000000017, -11.549999999999983, -8.800000000000011, -13.199999999999989];[0.05478841870824054, 0.07839643652561247, 0.08129175946547884, 0.08396436525612472, 0.08485523385300668, 0.08485523385300668, 0.08596881959910914, 0.08285077951002227, 0.08040089086859689, 0.07728285077951003, 0.07260579064587974, 0.06904231625835189, 0.06369710467706013];[0.05478841870824054, 0.133184855233853, 0.21447661469933185, 0.2984409799554566, 0.38329621380846324, 0.4681514476614699, 0.5541202672605791, 0.6369710467706012, 0.7173719376391982, 0.7946547884187081, 0.8672605790645879, 0.9363028953229398, 1.0];5.8583333333333325;95.625
2019-01-18;2378.75;[138.05, 195.25, 190.3, 194.7, 195.25, 201.3, 202.4, 196.35, 189.2, 179.3, 174.35, 166.65, 155.65];[14.300000000000011, 57.19999999999999, -4.949999999999989, 4.399999999999977, 0.5500000000000114, 6.050000000000011, 1.0999999999999943, -6.050000000000011, -7.150000000000006, -9.899999999999977, -4.950000000000017, -7.699999999999989, -11.0];[0.05803468208092486, 0.08208092485549133, 0.08, 0.08184971098265896, 0.08208092485549133, 0.0846242774566474, 0.08508670520231214, 0.08254335260115607, 0.07953757225433526, 0.0753757225433526, 0.07329479768786126, 0.0700578034682081, 0.0654335260115607];[0.05803468208092486, 0.1401156069364162, 0.22011560693641619, 0.3019653179190751, 0.38404624277456645, 0.46867052023121386, 0.553757225433526, 0.6363005780346821, 0.7158381502890173, 0.7912138728323699, 0.8645086705202312, 0.9345664739884393, 1.0];4.016666666666667;94.91666666666669
2019-01-19;1896.95;[124.85, 147.4, 149.05, 151.25, 151.8, 150.15, 149.6, 147.95, 146.85, 147.4, 146.85, 141.9, 141.9];[0.5499999999999972, 22.55000000000001, 1.6500000000000057, 2.1999999999999886, 0.5500000000000114, -1.6500000000000057, -0.5500000000000114, -1.6500000000000057, -1.0999999999999943, 0.5500000000000114, -0.5500000000000114, -4.949999999999989, 0.0];[0.06581617860249347, 0.07770368222673239, 0.07857349956509134, 0.07973325601623658, 0.08002319512902291, 0.07915337779066396, 0.07886343867787764, 0.07799362133951869, 0.07741374311394607, 0.07770368222673239, 0.07741374311394607, 0.07480429109886924, 0.07480429109886924];[0.06581617860249347, 0.14351986082922585, 0.2220933603943172, 0.30182661641055375, 0.38184981153957664, 0.4610031893302406, 0.5398666280081182, 0.617860249347637, 0.695273992461583, 0.7729776746883155, 0.8503914178022615, 0.9251957089011307, 1.0];4.204166666666667;75.58333333333333
2019-01-20;1624.1499999999996;[124.85, 124.85, 124.85, 125.4, 124.85, 124.3, 125.4, 125.95, 125.4, 124.3, 124.85, 124.85, 124.3];[0.5499999999999972, 0.0, 0.0, 0.5500000000000114, -0.5500000000000114, -0.5499999999999972, 1.1000000000000085, 0.5499999999999972, -0.5499999999999972, -1.1000000000000085, 0.5499999999999972, 0.0, -0.5499999999999972];[0.07687097866576365, 0.07687097866576365, 0.07687097866576365, 0.07720961733830005, 0.07687097866576365, 0.07653233999322724, 0.07720961733830005, 0.07754825601083645, 0.07720961733830005, 0.07653233999322724, 0.07687097866576365, 0.07687097866576365, 0.07653233999322724];[0.07687097866576365, 0.1537419573315273, 0.2306129359972909, 0.30782255333559094, 0.3846935320013546, 0.4612258719945818, 0.5384354893328819, 0.6159837453437184, 0.6931933626820184, 0.7697257026752456, 0.8465966813410092, 0.9234676600067728, 1.0];1.2583333333333335;85.54166666666667
2019-01-21;2443.6499999999996;[133.65, 195.8, 203.5, 198.0, 204.05, 204.05, 207.35, 201.3, 195.8, 188.1, 180.95, 170.5, 160.6];[9.900000000000006, 62.150000000000006, 7.699999999999989, -5.5, 6.050000000000011, 0.0, 3.299999999999983, -6.049999999999983, -5.5, -7.700000000000017, -7.150000000000006, -10.449999999999989, -9.900000000000006];[0.05469277515192439, 0.08012604096331309, 0.08327706504614, 0.0810263335584065, 0.08350213819491337, 0.08350213819491337, 0.08485257708755346, 0.0823767724510466, 0.08012604096331309, 0.07697501688048616, 0.0740490659464326, 0.06977267611973892, 0.0657213594418186];[0.05469277515192439, 0.1348188161152375, 0.2180958811613775, 0.299122214719784, 0.3826243529146973, 0.4661264911096107, 0.5509790681971641, 0.6333558406482107, 0.7134818816115237, 0.7904568984920098, 0.8645059644384425, 0.9342786405581814, 1.0];0.8916666666666667;87.375
2019-01-22;2459.6000000000004;[140.8, 195.8, 201.85, 201.85, 201.3, 204.6, 208.45, 201.85, 197.45, 188.65, 181.5, 172.15, 163.35];[15.950000000000017, 55.0, 6.049999999999983, 0.0, -0.549999999999983, 3.299999999999983, 3.8499999999999943, -6.599999999999994, -4.400000000000006, -8.799999999999983, -7.150000000000006, -9.349999999999994, -8.800000000000011];[0.05724508050089445, 0.07960644007155634, 0.08206618962432914, 0.08206618962432914, 0.08184257602862254, 0.08318425760286224, 0.08474955277280857, 0.08206618962432914, 0.08027728085867619, 0.07669946332737029, 0.07379248658318424, 0.06999105545617172, 0.06641323792486582];[0.05724508050089445, 0.13685152057245079, 0.21891771019677994, 0.3009838998211091, 0.3828264758497317, 0.46601073345259386, 0.5507602862254024, 0.6328264758497316, 0.7131037567084078, 0.7898032200357781, 0.8635957066189625, 0.9335867620751342, 1.0];-0.6749999999999998;88.79166666666669
