data;consumo_giorno;consumo_orario;consumo_orario_diff;consumo_ora_giorno;consumo_cumulato;tmedia;umidita
2019-01-11;1001.4000000000001;[73.2, 69.0, 75.0, 78.0, 86.4, 78.6, 88.2, 73.8, 83.4, 75.6, 73.2, 78.6, 68.4];[10.800000000000004, -4.200000000000003, 6.0, 3.0, 8.400000000000006, -7.800000000000011, 9.600000000000009, -14.400000000000006, 9.600000000000009, -7.800000000000011, -2.3999999999999915, 5.3999999999999915, -10.199999999999989];[0.07309766327142, 0.0689035350509287, 0.07489514679448771, 0.07789095266626722, 0.08627920910724984, 0.07849011384062311, 0.08807669263031755, 0.07369682444577591, 0.08328340323547034, 0.07549430796884361, 0.07309766327142, 0.07849011384062311, 0.0683043738765728];[0.07309766327142, 0.1420011983223487, 0.2168963451168364, 0.29478729778310364, 0.3810665068903535, 0.45955662073097664, 0.5476333133612943, 0.6213301378070701, 0.7046135410425404, 0.7801078490113841, 0.8532055122828041, 0.9316956261234273, 1.0];0.7125;59.16666666666666
2019-01-12;857.9999999999999;[62.4, 63.0, 69.6, 68.4, 61.8, 64.8, 75.0, 62.4, 70.8, 67.2, 62.4, 67.8, 62.4];[-2.3999999999999986, 0.6000000000000014, 6.599999999999994, -1.1999999999999886, -6.6000000000000085, 3.0, 10.200000000000003, -12.600000000000001, 8.399999999999999, -3.5999999999999943, -4.800000000000004, 5.399999999999999, -5.399999999999999];[0.07272727272727274, 0.07342657342657344, 0.08111888111888112, 0.07972027972027974, 0.07202797202797204, 0.07552447552447553, 0.08741258741258742, 0.07272727272727274, 0.08251748251748252, 0.07832167832167833, 0.07272727272727274, 0.07902097902097903, 0.07272727272727274];[0.07272727272727274, 0.1461538461538462, 0.2272727272727273, 0.306993006993007, 0.37902097902097903, 0.4545454545454546, 0.541958041958042, 0.6146853146853147, 0.6972027972027972, 0.7755244755244756, 0.8482517482517483, 0.9272727272727272, 1.0];0.7666666666666667;69.75
2019-01-13;865.7999999999998;[68.4, 61.8, 64.2, 69.0, 63.0, 77.4, 61.8, 71.4, 63.0, 64.8, 73.8, 65.4, 61.8];[7.800000000000004, -6.6000000000000085, 2.4000000000000057, 4.799999999999997, -6.0, 14.400000000000006, -15.600000000000009, 9.600000000000009, -8.400000000000006, 1.7999999999999972, 9.0, -8.399999999999991, -3.6000000000000085];[0.07900207900207902, 0.07137907137907139, 0.07415107415107416, 0.0796950796950797, 0.07276507276507278, 0.08939708939708942, 0.07137907137907139, 0.0824670824670825, 0.07276507276507278, 0.07484407484407485, 0.08523908523908526, 0.07553707553707556, 0.07137907137907139];[0.07900207900207902, 0.1503811503811504, 0.22453222453222454, 0.30422730422730426, 0.37699237699237703, 0.46638946638946643, 0.5377685377685378, 0.6202356202356204, 0.6930006930006931, 0.767844767844768, 0.8530838530838531, 0.9286209286209287, 1.0];2.3583333333333334;77.5
2019-01-14;1054.1999999999998;[67.2, 73.2, 72.0, 88.8, 78.6, 91.2, 89.4, 79.2, 92.4, 90.0, 86.4, 76.8, 69.0];[-8.399999999999991, 6.0, -1.2000000000000028, 16.799999999999997, -10.200000000000003, 12.600000000000009, -1.7999999999999972, -10.200000000000003, 13.200000000000003, -2.4000000000000057, -3.5999999999999943, -9.600000000000009, -7.799999999999997];[0.06374501992031874, 0.06943653955606148, 0.06829823562891293, 0.08423449060899262, 0.07455890722822994, 0.08651109846328972, 0.0848036425725669, 0.07512805919180422, 0.08764940239043827, 0.08537279453614116, 0.08195788275469552, 0.07285145133750713, 0.06545247581104156];[0.06374501992031874, 0.13318155947638022, 0.20147979510529315, 0.28571428571428575, 0.3602731929425157, 0.4467842914058054, 0.5315879339783723, 0.6067159931701765, 0.6943653955606148, 0.7797381900967559, 0.8616960728514514, 0.9345475241889586, 1.0];10.958333333333336;44.45833333333334
2019-01-15;1053.6;[67.8, 67.2, 84.0, 73.8, 82.8, 80.4, 85.2, 79.8, 92.4, 86.4, 90.6, 84.0, 79.2];[-4.200000000000003, -0.5999999999999943, 16.799999999999997, -10.200000000000003, 9.0, -2.3999999999999915, 4.799999999999997, -5.400000000000006, 12.600000000000009, -6.0, 4.199999999999989, -6.599999999999994, -4.799999999999997];[0.06435079726651481, 0.06378132118451026, 0.07972665148063782, 0.07004555808656036, 0.0785876993166287, 0.07630979498861049, 0.08086560364464694, 0.07574031890660593, 0.0876993166287016, 0.08200455580865605, 0.08599088838268792, 0.07972665148063782, 0.07517084282460137];[0.06435079726651481, 0.12813211845102507, 0.20785876993166288, 0.2779043280182233, 0.35649202733485197, 0.4328018223234624, 0.5136674259681094, 0.5894077448747154, 0.6771070615034169, 0.7591116173120729, 0.8451025056947609, 0.9248291571753987, 1.0];5.879166666666666;52.25
2019-01-16;1039.2;[64.2, 82.2, 85.8, 83.4, 94.2, 83.4, 79.2, 75.6, 86.4, 78.0, 84.6, 76.8, 65.4];[3.0, 18.0, 3.5999999999999943, -2.3999999999999915, 10.799999999999997, -10.799999999999997, -4.200000000000003, -3.6000000000000085, 10.800000000000011, -8.400000000000006, 6.599999999999994, -7.799999999999997, -11.399999999999991];[0.0617782909930716, 0.07909930715935334, 0.08256351039260969, 0.0802540415704388, 0.09064665127020785, 0.0802540415704388, 0.07621247113163972, 0.07274826789838336, 0.08314087759815243, 0.07505773672055427, 0.08140877598152424, 0.07390300230946882, 0.06293302540415704];[0.0617782909930716, 0.14087759815242495, 0.22344110854503463, 0.30369515011547343, 0.3943418013856813, 0.4745958429561201, 0.5508083140877599, 0.6235565819861433, 0.7066974595842956, 0.7817551963048499, 0.8631639722863742, 0.937066974595843, 1.0];5.258333333333334;73.45833333333333
2019-01-17;1051.8;[69.0, 78.0, 82.8, 78.6, 80.4, 87.0, 86.4, 85.2, 81.0, 88.2, 82.8, 77.4, 75.0];[-8.400000000000006, 9.0, 4.799999999999997, -4.200000000000003, 1.8000000000000114, 6.599999999999994, -0.5999999999999943, -1.2000000000000028, -4.200000000000003, 7.200000000000003, -5.400000000000006, -5.3999999999999915, -2.4000000000000057];[0.06560182544209926, 0.07415858528237308, 0.07872219053051911, 0.07472903593839132, 0.0764403879064461, 0.08271534512264689, 0.08214489446662865, 0.08100399315459213, 0.07701083856246435, 0.08385624643468341, 0.07872219053051911, 0.07358813462635483, 0.0713063320022818];[0.06560182544209926, 0.13976041072447234, 0.21848260125499147, 0.2932116371933828, 0.36965202509982886, 0.45236737022247575, 0.5345122646891044, 0.6155162578436966, 0.6925270964061608, 0.7763833428408443, 0.8551055333713634, 0.9286936679977182, 1.0];5.8583333333333325;95.625
2019-01-18;986.4000000000001;[69.6, 71.4, 75.6, 89.4, 76.2, 76.2, 77.4, 75.6, 85.2, 76.2, 72.6, 72.0, 69.0];[6.599999999999994, 1.8000000000000114, 4.199999999999989, 13.800000000000011, -13.200000000000003, 0.0, 1.2000000000000028, -1.8000000000000114, 9.600000000000009, -9.0, -3.6000000000000085, -0.5999999999999943, -3.0];[0.07055961070559609, 0.07238442822384428, 0.07664233576642335, 0.09063260340632603, 0.07725060827250607, 0.07725060827250607, 0.07846715328467153, 0.07664233576642335, 0.08637469586374695, 0.07725060827250607, 0.07360097323600973, 0.072992700729927, 0.06995133819951338];[0.07055961070559609, 0.14294403892944038, 0.21958637469586373, 0.31021897810218974, 0.3874695863746958, 0.4647201946472019, 0.5431873479318734, 0.6198296836982967, 0.7062043795620437, 0.7834549878345499, 0.8570559610705596, 0.9300486618004866, 1.0];4.016666666666667;94.91666666666669
2019-01-19;866.4;[69.6, 67.8, 65.4, 63.0, 66.0, 73.8, 66.0, 64.2, 63.6, 63.0, 69.6, 68.4, 66.0];[-3.0, -1.7999999999999972, -2.3999999999999915, -2.4000000000000057, 3.0, 7.799999999999997, -7.799999999999997, -1.7999999999999972, -0.6000000000000014, -0.6000000000000014, 6.599999999999994, -1.1999999999999886, -2.4000000000000057];[0.08033240997229917, 0.07825484764542937, 0.0754847645429363, 0.07271468144044321, 0.07617728531855956, 0.08518005540166206, 0.07617728531855956, 0.07409972299168975, 0.07340720221606649, 0.07271468144044321, 0.08033240997229917, 0.07894736842105264, 0.07617728531855956];[0.08033240997229917, 0.15858725761772852, 0.2340720221606648, 0.306786703601108, 0.38296398891966754, 0.4681440443213296, 0.5443213296398892, 0.6184210526315789, 0.6918282548476454, 0.7645429362880887, 0.8448753462603878, 0.9238227146814404, 1.0];4.204166666666667;75.58333333333333
2019-01-20;897.5999999999999;[70.2, 68.4, 66.0, 74.4, 63.0, 69.0, 64.8, 75.6, 63.0, 67.8, 74.4, 72.6, 68.4];[0.0, -1.7999999999999972, -2.4000000000000057, 8.400000000000006, -11.400000000000006, 6.0, -4.200000000000003, 10.799999999999997, -12.599999999999994, 4.799999999999997, 6.6000000000000085, -1.8000000000000114, -4.199999999999989];[0.07820855614973263, 0.07620320855614975, 0.07352941176470588, 0.08288770053475937, 0.07018716577540107, 0.0768716577540107, 0.07219251336898397, 0.08422459893048129, 0.07018716577540107, 0.07553475935828878, 0.08288770053475937, 0.08088235294117647, 0.07620320855614975];[0.07820855614973263, 0.1544117647058824, 0.22794117647058829, 0.3108288770053476, 0.3810160427807487, 0.4578877005347594, 0.5300802139037434, 0.6143048128342247, 0.6844919786096257, 0.7600267379679144, 0.8429144385026738, 0.9237967914438503, 1.0];1.2583333333333335;85.54166666666667
