data;h.7;h.8;h.9;h.10;h.11;h.12;h.13;h.14;h.15;h.16;h.17;h.18;h.19
2019-01-01;124.3;149.05;148.5;148.5;147.95;147.95;147.95;147.95;147.95;147.95;147.95;148.5;147.4
2019-01-02;124.85;150.15;152.9;154.0;156.75;156.2;157.85;157.3;155.65;156.75;153.45;152.35;150.15
2019-01-03;125.95;152.9;157.3;158.4;160.05;160.05;160.05;162.25;161.7;163.35;160.05;157.85;155.65
2019-01-04;130.9;154.55;158.4;161.7;160.6;161.15;160.6;162.25;161.15;160.6;159.5;157.3;155.1
2019-01-05;128.15;149.05;148.5;150.15;151.25;149.6;150.15;151.25;151.25;150.15;148.5;144.1;144.65
2019-01-06;127.05;127.05;127.05;127.05;127.05;127.05;127.6;127.6;127.05;127.05;126.5;125.95;126.5
2019-01-07;141.35;185.35;198.0;202.95;205.7;213.4;215.05;201.3;197.45;189.2;181.5;169.95;162.8
2019-01-08;146.85;199.1;208.45;207.9;208.45;213.4;213.4;203.5;198.55;191.4;183.7;174.9;163.35
2019-01-09;145.75;193.6;199.1;198.55;202.4;207.9;202.4;199.65;193.05;184.8;177.65;167.2;158.95
2019-01-10;136.95;198.55;195.8;200.75;201.85;207.35;204.05;195.8;192.5;184.8;175.45;166.65;156.75
2019-01-11;144.65;189.75;199.1;191.95;201.85;202.4;198.0;193.05;191.95;180.4;174.35;168.3;158.4
2019-01-12;125.4;147.95;153.45;152.35;154.55;153.45;152.35;150.15;150.7;151.25;149.05;144.1;144.65
2019-01-13;127.05;126.5;125.95;125.95;125.95;125.95;125.95;127.05;127.05;127.05;126.5;124.85;125.4
2019-01-14;143.0;187.0;196.35;205.7;203.5;205.15;205.15;201.3;196.35;188.1;179.3;169.4;162.25
2019-01-15;138.6;196.9;199.65;195.8;200.2;204.05;204.6;199.1;194.15;188.65;181.5;169.95;160.05
2019-01-16;140.25;195.8;202.4;204.05;208.45;211.2;210.1;205.15;199.1;188.65;181.5;168.85;161.15
2019-01-17;135.3;193.6;200.75;207.35;209.55;209.55;212.3;204.6;198.55;190.85;179.3;170.5;157.3
2019-01-18;138.05;195.25;190.3;194.7;195.25;201.3;202.4;196.35;189.2;179.3;174.35;166.65;155.65
2019-01-19;124.85;147.4;149.05;151.25;151.8;150.15;149.6;147.95;146.85;147.4;146.85;141.9;141.9
2019-01-20;124.85;124.85;124.85;125.4;124.85;124.3;125.4;125.95;125.4;124.3;124.85;124.85;124.3
2019-01-21;133.65;195.8;203.5;198.0;204.05;204.05;207.35;201.3;195.8;188.1;180.95;170.5;160.6
